,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,0,draw
3,3,-5,loss
4,4,5,win
5,5,5,win
6,6,5,win
7,7,-5,loss
8,8,5,win
9,9,5,win
10,10,-5,loss
11,11,-5,loss
12,12,5,win
13,13,-5,loss
14,14,5,win
15,15,-5,loss
16,16,5,win
17,17,5,win
18,18,-5,loss
19,19,-5,loss
20,20,5,win
21,21,-5,loss
22,22,-5,loss
23,23,0,draw
24,24,5,win
25,25,-5,loss
26,26,-5,loss
27,27,5,win
28,28,-5,loss
29,29,-5,loss
30,30,5,win
31,31,-5,loss
32,32,5,win
33,33,-5,loss
34,34,5,win
35,35,5,win
36,36,-5,loss
37,37,5,win
38,38,5,win
39,39,-5,loss
40,40,5,win
41,41,-5,loss
42,42,-5,loss
43,43,0,draw
44,44,-5,loss
45,45,5,win
46,46,-5,loss
47,47,-5,loss
48,48,-5,loss
49,49,5,win
50,50,5,win
51,51,-5,loss
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,-5,loss
56,56,0,draw
57,57,0,draw
58,58,-5,loss
59,59,0,draw
60,60,5,win
61,61,-5,loss
62,62,-5,loss
63,63,-5,loss
64,64,-5,loss
65,65,-5,loss
66,66,5,win
67,67,0,draw
68,68,5,win
69,69,-5,loss
70,70,-5,loss
71,71,5,win
72,72,-5,loss
73,73,-5,loss
74,74,5,win
75,75,-5,loss
76,76,-5,loss
77,77,-5,loss
78,78,-5,loss
79,79,5,win
80,80,5,win
81,81,-5,loss
82,82,0,draw
83,83,-5,loss
84,84,-5,loss
85,85,5,win
86,86,5,win
87,87,-5,loss
88,88,5,win
89,89,0,draw
90,90,-5,loss
91,91,0,draw
92,92,5,win
93,93,5,win
94,94,5,win
95,95,-5,loss
96,96,5,win
97,97,-5,loss
98,98,-5,loss
99,99,-5,loss
100,100,-5,loss
101,101,5,win
102,102,5,win
103,103,5,win
104,104,-5,loss
105,105,-5,loss
106,106,-5,loss
107,107,-5,loss
108,108,-5,loss
109,109,5,win
110,110,5,win
111,111,5,win
112,112,-5,loss
113,113,5,win
114,114,-5,loss
115,115,5,win
116,116,-5,loss
117,117,5,win
118,118,-5,loss
119,119,5,win
120,120,-5,loss
121,121,-5,loss
122,122,-5,loss
123,123,5,win
124,124,-5,loss
125,125,5,win
126,126,-5,loss
127,127,5,win
128,128,-5,loss
129,129,-5,loss
130,130,5,win
131,131,5,win
132,132,5,win
133,133,-5,loss
134,134,-5,loss
135,135,-5,loss
136,136,-5,loss
137,137,5,win
138,138,-5,loss
139,139,-5,loss
140,140,0,draw
141,141,5,win
142,142,5,win
143,143,-5,loss
144,144,5,win
145,145,5,win
146,146,-5,loss
147,147,-5,loss
148,148,-5,loss
149,149,-5,loss
150,150,-5,loss
151,151,5,win
152,152,-5,loss
153,153,-5,loss
154,154,0,draw
155,155,-5,loss
156,156,5,win
157,157,5,win
158,158,-5,loss
159,159,-5,loss
160,160,-5,loss
161,161,5,win
162,162,5,win
163,163,-5,loss
164,164,5,win
165,165,5,win
166,166,5,win
167,167,5,win
168,168,5,win
169,169,-5,loss
170,170,-5,loss
171,171,5,win
172,172,-5,loss
173,173,-5,loss
174,174,-5,loss
175,175,-5,loss
176,176,5,win
177,177,-5,loss
178,178,5,win
179,179,5,win
180,180,5,win
181,181,5,win
182,182,0,draw
183,183,5,win
184,184,5,win
185,185,5,win
186,186,5,win
187,187,-5,loss
188,188,5,win
189,189,-5,loss
190,190,-5,loss
191,191,5,win
192,192,-5,loss
193,193,5,win
194,194,5,win
195,195,5,win
196,196,-5,loss
197,197,-5,loss
198,198,-5,loss
199,199,-5,loss
200,200,-5,loss
201,201,-5,loss
202,202,5,win
203,203,5,win
204,204,-5,loss
205,205,-5,loss
206,206,5,win
207,207,-5,loss
208,208,5,win
209,209,-5,loss
210,210,-5,loss
211,211,5,win
212,212,5,win
213,213,-5,loss
214,214,0,draw
215,215,-5,loss
216,216,5,win
217,217,-5,loss
218,218,5,win
219,219,-5,loss
220,220,-5,loss
221,221,5,win
222,222,5,win
223,223,5,win
224,224,-5,loss
225,225,-5,loss
226,226,-5,loss
227,227,-5,loss
228,228,-5,loss
229,229,-5,loss
230,230,5,win
231,231,5,win
232,232,5,win
233,233,-5,loss
234,234,5,win
235,235,-5,loss
236,236,-5,loss
237,237,-5,loss
238,238,-5,loss
239,239,5,win
240,240,5,win
241,241,5,win
242,242,5,win
243,243,-5,loss
244,244,-5,loss
245,245,0,draw
246,246,5,win
247,247,-5,loss
248,248,-5,loss
249,249,5,win
250,250,5,win
251,251,-5,loss
252,252,-5,loss
253,253,5,win
254,254,0,draw
255,255,5,win
256,256,-5,loss
257,257,-5,loss
258,258,5,win
259,259,5,win
260,260,-5,loss
261,261,5,win
262,262,5,win
263,263,-5,loss
264,264,5,win
265,265,5,win
266,266,5,win
267,267,5,win
268,268,-5,loss
269,269,5,win
270,270,5,win
271,271,-5,loss
272,272,5,win
273,273,5,win
274,274,-5,loss
275,275,5,win
276,276,0,draw
277,277,-5,loss
278,278,-5,loss
279,279,-5,loss
280,280,5,win
281,281,5,win
282,282,5,win
283,283,-5,loss
284,284,-5,loss
285,285,-5,loss
286,286,5,win
287,287,5,win
288,288,5,win
289,289,-5,loss
290,290,5,win
291,291,5,win
292,292,-5,loss
293,293,5,win
294,294,5,win
295,295,5,win
296,296,5,win
297,297,-5,loss
298,298,5,win
299,299,-5,loss
300,300,-5,loss
301,301,-5,loss
302,302,5,win
303,303,5,win
304,304,5,win
305,305,-5,loss
306,306,5,win
307,307,5,win
308,308,-5,loss
309,309,-5,loss
310,310,-5,loss
311,311,0,draw
312,312,-5,loss
313,313,-5,loss
314,314,-5,loss
315,315,-5,loss
316,316,5,win
317,317,-5,loss
318,318,5,win
319,319,-5,loss
320,320,5,win
321,321,5,win
322,322,-5,loss
323,323,-5,loss
324,324,-5,loss
325,325,-5,loss
326,326,5,win
327,327,-5,loss
328,328,0,draw
329,329,5,win
330,330,-5,loss
331,331,-5,loss
332,332,-5,loss
333,333,-5,loss
334,334,5,win
335,335,5,win
336,336,5,win
337,337,-5,loss
338,338,0,draw
339,339,-5,loss
340,340,5,win
341,341,5,win
342,342,-5,loss
343,343,-5,loss
344,344,-5,loss
345,345,5,win
346,346,-5,loss
347,347,-5,loss
348,348,-5,loss
349,349,5,win
350,350,-5,loss
351,351,5,win
352,352,-5,loss
353,353,5,win
354,354,-5,loss
355,355,5,win
356,356,-5,loss
357,357,0,draw
358,358,5,win
359,359,5,win
360,360,-5,loss
361,361,5,win
362,362,-5,loss
363,363,-5,loss
364,364,5,win
365,365,-5,loss
366,366,-5,loss
367,367,5,win
368,368,-5,loss
369,369,5,win
370,370,5,win
371,371,-5,loss
