,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,-5,loss
3,3,-5,loss
4,4,0,draw
5,5,5,win
6,6,-5,loss
7,7,0,draw
8,8,5,win
9,9,5,win
10,10,-5,loss
11,11,-5,loss
12,12,0,draw
13,13,-5,loss
14,14,0,draw
15,15,5,win
16,16,-5,loss
17,17,-5,loss
18,18,5,win
19,19,-5,loss
20,20,-5,loss
21,21,-5,loss
22,22,-5,loss
23,23,-5,loss
24,24,-5,loss
25,25,-5,loss
26,26,-5,loss
27,27,5,win
28,28,5,win
29,29,0,draw
30,30,5,win
31,31,-5,loss
32,32,5,win
33,33,-5,loss
34,34,-5,loss
35,35,0,draw
36,36,5,win
37,37,-5,loss
38,38,-5,loss
39,39,-5,loss
40,40,5,win
41,41,5,win
42,42,-5,loss
43,43,-5,loss
44,44,5,win
45,45,5,win
46,46,5,win
47,47,-5,loss
48,48,0,draw
49,49,0,draw
50,50,5,win
51,51,-5,loss
52,52,-5,loss
53,53,5,win
54,54,-5,loss
55,55,5,win
56,56,-5,loss
57,57,0,draw
58,58,0,draw
59,59,-5,loss
60,60,0,draw
61,61,0,draw
62,62,-5,loss
63,63,-5,loss
64,64,0,draw
65,65,0,draw
66,66,-5,loss
67,67,-5,loss
68,68,-5,loss
69,69,0,draw
70,70,0,draw
71,71,-5,loss
72,72,5,win
73,73,-5,loss
74,74,5,win
75,75,-5,loss
76,76,0,draw
77,77,0,draw
78,78,5,win
79,79,-5,loss
80,80,0,draw
81,81,5,win
82,82,-5,loss
83,83,0,draw
84,84,5,win
85,85,-5,loss
86,86,0,draw
87,87,0,draw
88,88,-5,loss
89,89,-5,loss
90,90,5,win
91,91,0,draw
92,92,5,win
93,93,-5,loss
94,94,0,draw
95,95,-5,loss
96,96,0,draw
97,97,5,win
98,98,5,win
99,99,-5,loss
100,100,-5,loss
101,101,5,win
102,102,-5,loss
103,103,-5,loss
104,104,5,win
105,105,5,win
106,106,-5,loss
107,107,-5,loss
108,108,5,win
109,109,-5,loss
110,110,5,win
111,111,0,draw
112,112,-5,loss
113,113,-5,loss
114,114,5,win
115,115,5,win
116,116,5,win
117,117,5,win
118,118,5,win
119,119,0,draw
120,120,-5,loss
121,121,0,draw
122,122,5,win
123,123,0,draw
124,124,5,win
125,125,-5,loss
126,126,-5,loss
127,127,-5,loss
128,128,5,win
129,129,-5,loss
130,130,-5,loss
131,131,0,draw
132,132,0,draw
133,133,5,win
134,134,-5,loss
135,135,0,draw
136,136,-5,loss
137,137,-5,loss
138,138,-5,loss
139,139,-5,loss
140,140,-5,loss
141,141,-5,loss
142,142,-5,loss
143,143,5,win
144,144,-5,loss
145,145,5,win
146,146,-5,loss
147,147,-5,loss
148,148,-5,loss
149,149,-5,loss
150,150,-5,loss
151,151,0,draw
152,152,5,win
153,153,-5,loss
154,154,-5,loss
155,155,-5,loss
156,156,5,win
157,157,5,win
158,158,-5,loss
159,159,-5,loss
160,160,5,win
161,161,5,win
162,162,5,win
163,163,-5,loss
164,164,-5,loss
165,165,0,draw
166,166,-5,loss
167,167,-5,loss
168,168,-5,loss
169,169,5,win
170,170,5,win
171,171,-5,loss
172,172,-5,loss
173,173,5,win
174,174,-5,loss
175,175,-5,loss
176,176,5,win
177,177,-5,loss
178,178,-5,loss
179,179,5,win
180,180,5,win
181,181,5,win
182,182,5,win
183,183,-5,loss
184,184,-5,loss
185,185,-5,loss
186,186,0,draw
187,187,-5,loss
188,188,-5,loss
189,189,-5,loss
190,190,-5,loss
191,191,5,win
192,192,-5,loss
193,193,-5,loss
194,194,-5,loss
195,195,-5,loss
196,196,-5,loss
197,197,-5,loss
198,198,0,draw
199,199,-5,loss
200,200,-5,loss
201,201,0,draw
202,202,-5,loss
203,203,-5,loss
204,204,5,win
205,205,5,win
206,206,-5,loss
207,207,0,draw
208,208,-5,loss
209,209,5,win
210,210,-5,loss
211,211,5,win
212,212,-5,loss
213,213,5,win
214,214,-5,loss
215,215,-5,loss
216,216,-5,loss
217,217,5,win
218,218,-5,loss
219,219,-5,loss
220,220,-5,loss
221,221,-5,loss
222,222,0,draw
223,223,5,win
224,224,0,draw
225,225,5,win
226,226,-5,loss
227,227,-5,loss
228,228,5,win
229,229,-5,loss
230,230,-5,loss
231,231,-5,loss
232,232,0,draw
233,233,-5,loss
234,234,0,draw
235,235,0,draw
236,236,-5,loss
237,237,5,win
238,238,-5,loss
239,239,-5,loss
240,240,-5,loss
241,241,-5,loss
242,242,-5,loss
243,243,-5,loss
244,244,5,win
245,245,-5,loss
246,246,5,win
247,247,-5,loss
248,248,-5,loss
249,249,-5,loss
250,250,5,win
251,251,5,win
252,252,-5,loss
253,253,-5,loss
254,254,-5,loss
255,255,5,win
256,256,-5,loss
257,257,-5,loss
258,258,-5,loss
259,259,-5,loss
260,260,0,draw
261,261,-5,loss
262,262,5,win
263,263,-5,loss
264,264,-5,loss
265,265,0,draw
266,266,-5,loss
267,267,-5,loss
268,268,5,win
269,269,5,win
270,270,5,win
271,271,-5,loss
272,272,-5,loss
273,273,-5,loss
274,274,0,draw
275,275,5,win
276,276,5,win
277,277,5,win
278,278,-5,loss
279,279,0,draw
280,280,-5,loss
281,281,-5,loss
282,282,-5,loss
283,283,-5,loss
284,284,5,win
285,285,-5,loss
286,286,-5,loss
287,287,-5,loss
288,288,-5,loss
289,289,-5,loss
290,290,-5,loss
291,291,5,win
292,292,-5,loss
293,293,-5,loss
294,294,5,win
295,295,5,win
296,296,-5,loss
297,297,5,win
298,298,5,win
299,299,5,win
300,300,-5,loss
301,301,5,win
302,302,0,draw
303,303,0,draw
304,304,-5,loss
305,305,-5,loss
306,306,-5,loss
307,307,0,draw
308,308,0,draw
309,309,5,win
310,310,-5,loss
311,311,-5,loss
312,312,-5,loss
313,313,5,win
314,314,5,win
315,315,-5,loss
316,316,5,win
317,317,0,draw
318,318,0,draw
319,319,5,win
320,320,5,win
321,321,5,win
322,322,-5,loss
323,323,5,win
324,324,5,win
325,325,5,win
326,326,-5,loss
327,327,-5,loss
328,328,-5,loss
329,329,-5,loss
330,330,5,win
331,331,-5,loss
332,332,0,draw
333,333,-5,loss
334,334,-5,loss
335,335,-5,loss
336,336,-5,loss
337,337,-5,loss
338,338,5,win
339,339,0,draw
340,340,5,win
341,341,5,win
342,342,-5,loss
343,343,-5,loss
344,344,5,win
345,345,0,draw
346,346,5,win
347,347,-5,loss
348,348,5,win
349,349,0,draw
350,350,5,win
351,351,-5,loss
352,352,5,win
353,353,-5,loss
354,354,-5,loss
355,355,-5,loss
356,356,0,draw
357,357,-5,loss
358,358,0,draw
359,359,5,win
360,360,5,win
361,361,0,draw
362,362,-5,loss
363,363,-5,loss
364,364,5,win
365,365,-5,loss
