,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,0,draw
3,3,-5,loss
4,4,0,draw
5,5,0,draw
6,6,-5,loss
7,7,-5,loss
8,8,0,draw
9,9,5,win
10,10,-5,loss
11,11,0,draw
12,12,-5,loss
13,13,-5,loss
14,14,-5,loss
15,15,-5,loss
16,16,-5,loss
17,17,-5,loss
18,18,-5,loss
19,19,-5,loss
20,20,-5,loss
21,21,-5,loss
22,22,-5,loss
23,23,-5,loss
24,24,0,draw
25,25,-5,loss
26,26,-5,loss
27,27,-5,loss
28,28,-5,loss
29,29,-5,loss
30,30,-5,loss
31,31,-5,loss
32,32,0,draw
33,33,-5,loss
34,34,-5,loss
35,35,5,win
36,36,-5,loss
37,37,0,draw
38,38,-5,loss
39,39,-5,loss
40,40,-5,loss
41,41,0,draw
42,42,-5,loss
43,43,-5,loss
44,44,0,draw
45,45,5,win
46,46,0,draw
47,47,-5,loss
48,48,-5,loss
49,49,-5,loss
50,50,5,win
51,51,-5,loss
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,0,draw
56,56,-5,loss
57,57,-5,loss
58,58,-5,loss
59,59,-5,loss
60,60,0,draw
61,61,-5,loss
62,62,-5,loss
63,63,-5,loss
64,64,5,win
65,65,0,draw
66,66,-5,loss
67,67,0,draw
68,68,0,draw
69,69,-5,loss
70,70,5,win
71,71,0,draw
72,72,-5,loss
73,73,-5,loss
74,74,-5,loss
75,75,-5,loss
76,76,0,draw
77,77,-5,loss
78,78,-5,loss
79,79,-5,loss
80,80,-5,loss
81,81,-5,loss
82,82,-5,loss
83,83,5,win
84,84,-5,loss
85,85,-5,loss
86,86,-5,loss
87,87,-5,loss
88,88,-5,loss
89,89,-5,loss
90,90,-5,loss
91,91,0,draw
92,92,-5,loss
93,93,5,win
94,94,-5,loss
95,95,-5,loss
96,96,0,draw
97,97,-5,loss
98,98,0,draw
99,99,-5,loss
100,100,0,draw
101,101,-5,loss
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,-5,loss
106,106,-5,loss
107,107,5,win
108,108,-5,loss
109,109,0,draw
110,110,0,draw
111,111,-5,loss
112,112,-5,loss
113,113,-5,loss
114,114,-5,loss
115,115,0,draw
116,116,-5,loss
117,117,5,win
118,118,0,draw
119,119,-5,loss
120,120,-5,loss
121,121,-5,loss
122,122,-5,loss
123,123,-5,loss
124,124,-5,loss
125,125,5,win
126,126,0,draw
127,127,-5,loss
128,128,0,draw
129,129,-5,loss
130,130,-5,loss
131,131,-5,loss
132,132,0,draw
133,133,0,draw
134,134,0,draw
135,135,-5,loss
136,136,-5,loss
137,137,5,win
138,138,-5,loss
139,139,0,draw
140,140,0,draw
141,141,5,win
142,142,-5,loss
143,143,0,draw
144,144,0,draw
145,145,5,win
146,146,0,draw
147,147,-5,loss
148,148,-5,loss
149,149,5,win
150,150,0,draw
151,151,-5,loss
152,152,5,win
153,153,-5,loss
154,154,-5,loss
155,155,-5,loss
156,156,5,win
157,157,-5,loss
158,158,5,win
159,159,-5,loss
160,160,-5,loss
161,161,0,draw
162,162,-5,loss
163,163,0,draw
164,164,-5,loss
165,165,-5,loss
166,166,-5,loss
167,167,5,win
168,168,5,win
169,169,-5,loss
170,170,-5,loss
171,171,-5,loss
172,172,0,draw
173,173,-5,loss
174,174,-5,loss
175,175,5,win
176,176,-5,loss
177,177,-5,loss
178,178,5,win
179,179,-5,loss
180,180,5,win
181,181,-5,loss
182,182,-5,loss
183,183,0,draw
184,184,0,draw
185,185,0,draw
186,186,-5,loss
187,187,-5,loss
188,188,5,win
189,189,-5,loss
190,190,-5,loss
191,191,-5,loss
192,192,-5,loss
193,193,0,draw
194,194,-5,loss
195,195,0,draw
196,196,-5,loss
197,197,0,draw
198,198,-5,loss
199,199,-5,loss
200,200,-5,loss
201,201,0,draw
202,202,-5,loss
203,203,-5,loss
204,204,-5,loss
205,205,5,win
206,206,0,draw
207,207,5,win
208,208,-5,loss
209,209,-5,loss
210,210,0,draw
211,211,0,draw
212,212,-5,loss
213,213,-5,loss
214,214,-5,loss
215,215,-5,loss
216,216,-5,loss
217,217,-5,loss
218,218,0,draw
219,219,-5,loss
220,220,-5,loss
221,221,0,draw
222,222,5,win
223,223,0,draw
224,224,-5,loss
225,225,-5,loss
226,226,0,draw
227,227,0,draw
228,228,0,draw
229,229,-5,loss
230,230,-5,loss
231,231,5,win
232,232,-5,loss
233,233,-5,loss
234,234,-5,loss
235,235,-5,loss
236,236,5,win
237,237,-5,loss
238,238,-5,loss
239,239,-5,loss
240,240,0,draw
241,241,-5,loss
242,242,-5,loss
243,243,-5,loss
244,244,5,win
245,245,-5,loss
246,246,-5,loss
247,247,-5,loss
248,248,-5,loss
249,249,-5,loss
250,250,-5,loss
251,251,5,win
252,252,-5,loss
253,253,-5,loss
254,254,0,draw
255,255,-5,loss
256,256,-5,loss
257,257,0,draw
258,258,0,draw
259,259,-5,loss
260,260,-5,loss
261,261,0,draw
262,262,-5,loss
263,263,-5,loss
264,264,-5,loss
265,265,-5,loss
266,266,-5,loss
267,267,0,draw
268,268,-5,loss
269,269,0,draw
270,270,-5,loss
271,271,5,win
272,272,-5,loss
273,273,5,win
274,274,0,draw
275,275,-5,loss
276,276,0,draw
277,277,-5,loss
278,278,0,draw
279,279,-5,loss
280,280,-5,loss
281,281,0,draw
282,282,5,win
283,283,-5,loss
284,284,5,win
285,285,0,draw
286,286,5,win
287,287,-5,loss
288,288,-5,loss
289,289,0,draw
290,290,-5,loss
291,291,0,draw
292,292,0,draw
293,293,0,draw
294,294,5,win
295,295,5,win
296,296,-5,loss
297,297,0,draw
298,298,0,draw
299,299,5,win
300,300,-5,loss
301,301,-5,loss
302,302,0,draw
303,303,-5,loss
304,304,0,draw
305,305,-5,loss
306,306,0,draw
307,307,5,win
308,308,-5,loss
309,309,-5,loss
310,310,-5,loss
311,311,0,draw
312,312,-5,loss
313,313,5,win
314,314,0,draw
315,315,-5,loss
316,316,0,draw
317,317,-5,loss
318,318,-5,loss
319,319,5,win
320,320,-5,loss
321,321,-5,loss
322,322,0,draw
323,323,-5,loss
324,324,0,draw
325,325,-5,loss
326,326,-5,loss
327,327,0,draw
328,328,-5,loss
329,329,-5,loss
330,330,-5,loss
331,331,-5,loss
332,332,-5,loss
333,333,-5,loss
334,334,-5,loss
335,335,-5,loss
336,336,-5,loss
337,337,-5,loss
338,338,-5,loss
339,339,0,draw
340,340,0,draw
341,341,0,draw
342,342,-5,loss
343,343,-5,loss
344,344,-5,loss
345,345,-5,loss
346,346,-5,loss
347,347,-5,loss
348,348,0,draw
349,349,5,win
350,350,0,draw
351,351,-5,loss
352,352,-5,loss
353,353,-5,loss
354,354,0,draw
