,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,-5,loss
3,3,-5,loss
4,4,5,win
5,5,0,draw
6,6,5,win
7,7,-5,loss
8,8,-5,loss
9,9,-5,loss
10,10,-5,loss
11,11,-5,loss
12,12,-5,loss
13,13,0,draw
14,14,-5,loss
15,15,-5,loss
16,16,-5,loss
17,17,0,draw
18,18,-5,loss
19,19,-5,loss
20,20,0,draw
21,21,0,draw
22,22,-5,loss
23,23,-5,loss
24,24,-5,loss
25,25,0,draw
26,26,-5,loss
27,27,-5,loss
28,28,0,draw
29,29,-5,loss
30,30,-5,loss
31,31,-5,loss
32,32,5,win
33,33,-5,loss
34,34,0,draw
35,35,-5,loss
36,36,-5,loss
37,37,0,draw
38,38,5,win
39,39,-5,loss
40,40,0,draw
41,41,0,draw
42,42,0,draw
43,43,5,win
44,44,-5,loss
45,45,0,draw
46,46,-5,loss
47,47,-5,loss
48,48,0,draw
49,49,-5,loss
50,50,5,win
51,51,0,draw
52,52,-5,loss
53,53,-5,loss
54,54,-5,loss
55,55,-5,loss
56,56,-5,loss
57,57,-5,loss
58,58,0,draw
59,59,0,draw
60,60,0,draw
61,61,-5,loss
62,62,-5,loss
63,63,-5,loss
64,64,5,win
65,65,5,win
66,66,-5,loss
67,67,0,draw
68,68,-5,loss
69,69,0,draw
70,70,0,draw
71,71,-5,loss
72,72,-5,loss
73,73,-5,loss
74,74,-5,loss
75,75,-5,loss
76,76,5,win
77,77,0,draw
78,78,-5,loss
79,79,5,win
80,80,-5,loss
81,81,5,win
82,82,0,draw
83,83,-5,loss
84,84,-5,loss
85,85,-5,loss
86,86,5,win
87,87,-5,loss
88,88,-5,loss
89,89,0,draw
90,90,0,draw
91,91,-5,loss
92,92,5,win
93,93,-5,loss
94,94,0,draw
95,95,-5,loss
96,96,0,draw
97,97,-5,loss
98,98,-5,loss
99,99,-5,loss
100,100,-5,loss
101,101,-5,loss
102,102,-5,loss
103,103,-5,loss
104,104,-5,loss
105,105,0,draw
106,106,0,draw
107,107,-5,loss
108,108,5,win
109,109,-5,loss
110,110,-5,loss
111,111,-5,loss
112,112,-5,loss
113,113,-5,loss
114,114,-5,loss
115,115,0,draw
116,116,0,draw
117,117,-5,loss
118,118,-5,loss
119,119,-5,loss
120,120,0,draw
121,121,-5,loss
122,122,-5,loss
123,123,5,win
124,124,0,draw
125,125,-5,loss
126,126,0,draw
127,127,-5,loss
128,128,-5,loss
129,129,-5,loss
130,130,-5,loss
131,131,-5,loss
132,132,-5,loss
133,133,0,draw
134,134,-5,loss
135,135,-5,loss
136,136,-5,loss
137,137,0,draw
138,138,0,draw
139,139,5,win
140,140,-5,loss
141,141,-5,loss
142,142,-5,loss
143,143,-5,loss
144,144,0,draw
145,145,5,win
146,146,-5,loss
147,147,-5,loss
148,148,-5,loss
149,149,-5,loss
150,150,5,win
151,151,-5,loss
152,152,-5,loss
153,153,0,draw
154,154,-5,loss
155,155,-5,loss
156,156,0,draw
157,157,0,draw
158,158,-5,loss
159,159,-5,loss
160,160,0,draw
161,161,-5,loss
162,162,5,win
163,163,-5,loss
164,164,0,draw
165,165,-5,loss
166,166,-5,loss
167,167,-5,loss
168,168,-5,loss
169,169,0,draw
170,170,-5,loss
171,171,0,draw
172,172,-5,loss
173,173,5,win
174,174,5,win
175,175,-5,loss
176,176,5,win
177,177,0,draw
178,178,-5,loss
179,179,0,draw
180,180,0,draw
181,181,-5,loss
182,182,-5,loss
183,183,-5,loss
184,184,-5,loss
185,185,0,draw
186,186,-5,loss
187,187,-5,loss
188,188,0,draw
189,189,-5,loss
190,190,-5,loss
191,191,0,draw
192,192,-5,loss
193,193,-5,loss
194,194,-5,loss
195,195,-5,loss
196,196,0,draw
197,197,-5,loss
198,198,5,win
199,199,-5,loss
200,200,-5,loss
201,201,0,draw
202,202,-5,loss
203,203,0,draw
204,204,-5,loss
205,205,-5,loss
206,206,5,win
207,207,-5,loss
208,208,5,win
209,209,-5,loss
210,210,-5,loss
211,211,-5,loss
212,212,-5,loss
213,213,0,draw
214,214,-5,loss
215,215,-5,loss
216,216,-5,loss
217,217,-5,loss
218,218,-5,loss
219,219,-5,loss
220,220,-5,loss
221,221,-5,loss
222,222,-5,loss
223,223,0,draw
224,224,-5,loss
225,225,0,draw
226,226,5,win
227,227,-5,loss
228,228,-5,loss
229,229,0,draw
230,230,-5,loss
231,231,5,win
232,232,-5,loss
233,233,-5,loss
234,234,-5,loss
235,235,-5,loss
236,236,-5,loss
237,237,-5,loss
238,238,-5,loss
239,239,-5,loss
240,240,0,draw
241,241,-5,loss
242,242,-5,loss
243,243,0,draw
244,244,0,draw
245,245,5,win
246,246,-5,loss
247,247,0,draw
248,248,5,win
249,249,-5,loss
250,250,-5,loss
251,251,0,draw
252,252,0,draw
253,253,0,draw
254,254,0,draw
255,255,0,draw
256,256,0,draw
257,257,0,draw
258,258,0,draw
259,259,-5,loss
260,260,-5,loss
261,261,-5,loss
262,262,5,win
263,263,-5,loss
264,264,-5,loss
265,265,-5,loss
266,266,-5,loss
267,267,-5,loss
268,268,-5,loss
269,269,-5,loss
270,270,-5,loss
271,271,-5,loss
272,272,-5,loss
273,273,-5,loss
274,274,-5,loss
275,275,0,draw
276,276,-5,loss
277,277,-5,loss
278,278,-5,loss
279,279,-5,loss
280,280,0,draw
281,281,5,win
282,282,-5,loss
283,283,-5,loss
284,284,5,win
285,285,0,draw
286,286,-5,loss
287,287,0,draw
288,288,-5,loss
289,289,-5,loss
290,290,-5,loss
291,291,0,draw
292,292,-5,loss
293,293,-5,loss
294,294,-5,loss
295,295,-5,loss
296,296,-5,loss
297,297,-5,loss
298,298,-5,loss
299,299,-5,loss
300,300,-5,loss
301,301,0,draw
302,302,-5,loss
303,303,0,draw
304,304,5,win
305,305,0,draw
306,306,0,draw
307,307,-5,loss
308,308,-5,loss
309,309,-5,loss
310,310,0,draw
311,311,-5,loss
312,312,0,draw
313,313,-5,loss
314,314,0,draw
315,315,-5,loss
316,316,-5,loss
317,317,-5,loss
318,318,-5,loss
319,319,5,win
320,320,-5,loss
321,321,0,draw
322,322,-5,loss
323,323,-5,loss
324,324,-5,loss
325,325,-5,loss
326,326,5,win
327,327,-5,loss
328,328,-5,loss
329,329,0,draw
330,330,0,draw
331,331,0,draw
332,332,-5,loss
333,333,-5,loss
334,334,5,win
335,335,-5,loss
336,336,5,win
337,337,-5,loss
338,338,-5,loss
339,339,-5,loss
340,340,-5,loss
341,341,-5,loss
342,342,0,draw
343,343,5,win
344,344,-5,loss
345,345,5,win
346,346,-5,loss
347,347,5,win
348,348,0,draw
349,349,-5,loss
350,350,0,draw
351,351,0,draw
352,352,-5,loss
353,353,-5,loss
354,354,0,draw
