,index,value,status
0,0,-5,loss
1,1,-5,loss
2,2,5,win
3,3,-5,loss
4,4,-5,loss
5,5,-5,loss
6,6,-5,loss
7,7,5,win
8,8,-5,loss
9,9,-5,loss
10,10,-5,loss
11,11,0,draw
12,12,-5,loss
13,13,0,draw
14,14,-5,loss
15,15,-5,loss
16,16,0,draw
17,17,-5,loss
18,18,0,draw
19,19,-5,loss
20,20,-5,loss
21,21,-5,loss
22,22,-5,loss
23,23,-5,loss
24,24,-5,loss
25,25,-5,loss
26,26,-5,loss
27,27,-5,loss
28,28,0,draw
29,29,5,win
30,30,5,win
31,31,0,draw
32,32,-5,loss
33,33,5,win
34,34,0,draw
35,35,0,draw
36,36,0,draw
37,37,-5,loss
38,38,5,win
39,39,0,draw
40,40,-5,loss
41,41,-5,loss
42,42,0,draw
43,43,-5,loss
44,44,5,win
45,45,0,draw
46,46,0,draw
47,47,5,win
48,48,-5,loss
49,49,5,win
50,50,-5,loss
51,51,-5,loss
52,52,5,win
53,53,-5,loss
54,54,-5,loss
55,55,-5,loss
56,56,-5,loss
57,57,0,draw
58,58,-5,loss
59,59,-5,loss
60,60,0,draw
61,61,0,draw
62,62,-5,loss
63,63,5,win
64,64,0,draw
65,65,-5,loss
66,66,-5,loss
67,67,5,win
68,68,-5,loss
69,69,-5,loss
70,70,-5,loss
71,71,-5,loss
72,72,-5,loss
73,73,-5,loss
74,74,-5,loss
75,75,0,draw
76,76,-5,loss
77,77,5,win
78,78,5,win
79,79,-5,loss
80,80,-5,loss
81,81,-5,loss
82,82,0,draw
83,83,-5,loss
84,84,5,win
85,85,-5,loss
86,86,0,draw
87,87,5,win
88,88,-5,loss
89,89,5,win
90,90,-5,loss
91,91,-5,loss
92,92,-5,loss
93,93,5,win
94,94,-5,loss
95,95,-5,loss
96,96,5,win
97,97,-5,loss
98,98,-5,loss
99,99,-5,loss
100,100,-5,loss
101,101,-5,loss
102,102,0,draw
103,103,-5,loss
104,104,-5,loss
105,105,-5,loss
106,106,5,win
107,107,-5,loss
108,108,-5,loss
109,109,-5,loss
110,110,0,draw
111,111,5,win
112,112,5,win
113,113,-5,loss
114,114,5,win
115,115,5,win
116,116,5,win
117,117,-5,loss
118,118,0,draw
119,119,-5,loss
120,120,-5,loss
121,121,-5,loss
122,122,5,win
123,123,-5,loss
124,124,-5,loss
125,125,-5,loss
126,126,5,win
127,127,-5,loss
128,128,0,draw
129,129,5,win
130,130,-5,loss
131,131,-5,loss
132,132,5,win
133,133,-5,loss
134,134,-5,loss
135,135,-5,loss
136,136,-5,loss
137,137,5,win
138,138,0,draw
139,139,-5,loss
140,140,-5,loss
141,141,0,draw
142,142,0,draw
143,143,-5,loss
144,144,-5,loss
145,145,-5,loss
146,146,-5,loss
147,147,-5,loss
148,148,5,win
149,149,0,draw
150,150,-5,loss
151,151,-5,loss
152,152,-5,loss
153,153,-5,loss
154,154,-5,loss
155,155,-5,loss
156,156,-5,loss
157,157,0,draw
158,158,5,win
159,159,0,draw
160,160,-5,loss
161,161,-5,loss
162,162,5,win
163,163,0,draw
164,164,-5,loss
165,165,-5,loss
166,166,5,win
167,167,5,win
168,168,5,win
169,169,-5,loss
170,170,5,win
171,171,0,draw
172,172,-5,loss
173,173,-5,loss
174,174,-5,loss
175,175,0,draw
176,176,-5,loss
177,177,0,draw
178,178,0,draw
179,179,0,draw
180,180,-5,loss
181,181,-5,loss
182,182,0,draw
183,183,5,win
184,184,-5,loss
185,185,-5,loss
186,186,-5,loss
187,187,-5,loss
188,188,-5,loss
189,189,-5,loss
190,190,-5,loss
191,191,-5,loss
192,192,-5,loss
193,193,-5,loss
194,194,-5,loss
195,195,5,win
196,196,-5,loss
197,197,-5,loss
198,198,0,draw
199,199,0,draw
200,200,0,draw
201,201,-5,loss
202,202,-5,loss
203,203,-5,loss
204,204,-5,loss
205,205,0,draw
206,206,-5,loss
207,207,-5,loss
208,208,-5,loss
209,209,-5,loss
210,210,-5,loss
211,211,-5,loss
212,212,-5,loss
213,213,-5,loss
214,214,5,win
215,215,0,draw
216,216,-5,loss
217,217,-5,loss
218,218,0,draw
219,219,-5,loss
220,220,-5,loss
221,221,0,draw
222,222,-5,loss
223,223,-5,loss
224,224,-5,loss
225,225,-5,loss
226,226,-5,loss
227,227,0,draw
228,228,-5,loss
229,229,-5,loss
230,230,-5,loss
231,231,0,draw
232,232,-5,loss
233,233,-5,loss
234,234,-5,loss
235,235,-5,loss
236,236,-5,loss
237,237,-5,loss
238,238,-5,loss
239,239,-5,loss
240,240,0,draw
241,241,5,win
242,242,-5,loss
243,243,-5,loss
244,244,-5,loss
245,245,0,draw
246,246,-5,loss
247,247,5,win
248,248,5,win
249,249,-5,loss
250,250,-5,loss
251,251,-5,loss
252,252,-5,loss
253,253,5,win
254,254,-5,loss
255,255,-5,loss
256,256,-5,loss
257,257,-5,loss
258,258,0,draw
259,259,-5,loss
260,260,0,draw
261,261,-5,loss
262,262,-5,loss
263,263,-5,loss
264,264,-5,loss
265,265,-5,loss
266,266,0,draw
267,267,-5,loss
268,268,-5,loss
269,269,-5,loss
270,270,5,win
271,271,0,draw
272,272,-5,loss
273,273,5,win
274,274,-5,loss
275,275,-5,loss
276,276,0,draw
277,277,5,win
278,278,-5,loss
279,279,-5,loss
280,280,0,draw
281,281,-5,loss
282,282,-5,loss
283,283,-5,loss
284,284,5,win
285,285,0,draw
286,286,-5,loss
287,287,-5,loss
288,288,5,win
289,289,0,draw
290,290,0,draw
291,291,5,win
292,292,0,draw
293,293,-5,loss
294,294,-5,loss
295,295,-5,loss
296,296,0,draw
297,297,-5,loss
298,298,0,draw
299,299,-5,loss
300,300,-5,loss
301,301,-5,loss
302,302,0,draw
303,303,0,draw
304,304,-5,loss
305,305,5,win
306,306,5,win
307,307,5,win
308,308,-5,loss
309,309,-5,loss
310,310,5,win
311,311,-5,loss
312,312,-5,loss
313,313,-5,loss
314,314,-5,loss
315,315,-5,loss
316,316,-5,loss
317,317,-5,loss
318,318,0,draw
319,319,-5,loss
320,320,-5,loss
321,321,5,win
322,322,-5,loss
323,323,0,draw
324,324,-5,loss
325,325,-5,loss
326,326,-5,loss
327,327,5,win
328,328,-5,loss
329,329,0,draw
330,330,0,draw
331,331,-5,loss
332,332,0,draw
333,333,-5,loss
334,334,5,win
335,335,-5,loss
336,336,0,draw
337,337,-5,loss
338,338,-5,loss
339,339,-5,loss
340,340,5,win
341,341,-5,loss
342,342,-5,loss
343,343,-5,loss
344,344,-5,loss
345,345,-5,loss
346,346,-5,loss
347,347,5,win
348,348,-5,loss
349,349,-5,loss
350,350,-5,loss
351,351,-5,loss
352,352,-5,loss
353,353,-5,loss
354,354,-5,loss
355,355,-5,loss
